Timestamp,Hour,IdleMinutes,ActiveWindow,IsSilent,TriggerReason,Message
2026-03-14T01:22:50.525624800,1,0,"powershell | dataset.csv - DaemonV - Visual Studio Code [Administrator]",false,Interval Trigger,"A lone figure sits in the dimly lit room, fingers poised over the keyboard as the faint glow of a computer screen casts an eerie silence."
2026-03-14T01:36:41.565104800,1,0,"powershell | Windows Security",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:37:43.538140100,1,0,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:38:45.155545100,1,0,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:39:47.260414800,1,0,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:40:48.751983100,1,1,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:41:50.205283600,1,2,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:42:51.704092900,1,3,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:43:53.128706900,1,4,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:44:54.555897,1,5,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:45:55.964433500,1,6,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:46:57.416515600,1,7,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:47:58.849315900,1,8,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:49:00.261814400,1,9,"powershell | Program Manager",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:50:01.969453800,1,0,"powershell | DaemonV.vbs - Notepad",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:51:03.439442300,1,0,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:51:48.167664800,1,0,"powershell | startup.vbs - DaemonV - Visual Studio Code [Administrator]",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T01:52:05.166161,1,0,"powershell | Tiny-Task.bat - Notepad",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T02:02:29.500437800,2,0,"powershell | Google Gemini - Brave",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T02:07:06.238320700,2,0,"powershell | startup.vbs - DaemonV - Visual Studio Code [Administrator]",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T02:08:07.854716400,2,1,"powershell | startup.vbs - DaemonV - Visual Studio Code [Administrator]",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T02:09:09.314123700,2,2,"powershell | startup.vbs - DaemonV - Visual Studio Code [Administrator]",true,Silent Window Active,"Skipped (Silent Mode)"
2026-03-14T02:10:10.893722600,2,0,"powershell | Search",true,Silent Window Active,"Skipped (Silent Mode)"
